PC,term,estimate,std.error,statistic,p.value
PC1,(Intercept),171.53383971534043,6.346674017708123,27.027359406948683,1.1366859207391058e-41
PC1,time,-0.009020386008323167,3.448215518800287e-4,-26.159577204911965,1.1591470143853993e-40
PC1,ONSET,-0.8283475281419603,0.6292794386118787,-1.316342911138498,0.19186544687317605
PC1,POST,-0.017200249028695887,0.0012662584910811173,-13.583521176636301,2.2989235165784217e-22
PC2,(Intercept),140.7449575242799,7.160407781811839,19.65599750921817,3.713031989854627e-32
PC2,time,-0.007670839165092511,3.8903257304994006e-4,-19.717729816181244,3.0209047275456977e-32
PC2,ONSET,0.23929378390564615,0.7099620016088091,0.3370515370729625,0.7369718677529615
PC2,POST,0.029438210034750476,0.0014286108169451485,20.606178873613242,1.626291436754917e-33
PC3,(Intercept),-29.576626026864993,19.317385829883126,-1.5310884343942277,0.12974232903022345
PC3,time,0.0016121016314450108,0.0010495341247305746,1.5360164033340533,0.12852995977458248
PC3,ONSET,-2.785169175783801,1.9153392275325392,-1.4541388469194731,0.14986934512369401
PC3,POST,0.0012900989527121066,0.003854113786895379,0.3347329695087507,0.7387136492138247
PC4,(Intercept),7.894204791434904,12.86689004345137,0.6135285810927308,0.5412894356055233
PC4,time,-4.248260371115573e-4,6.990718256953708e-4,-0.6077001267916646,0.5451293669206343
PC4,ONSET,-0.697382226782989,1.2757657507904823,-0.5466381475994956,0.5861680452208067
PC4,POST,0.002673166826288685,0.0025671412657823816,1.0413010230171305,0.3009121676868376
PC5,(Intercept),6.544680757465409,12.748100754215372,0.5133847687312403,0.6091150142355111
PC5,time,-3.5432030341003693e-4,6.926178772261732e-4,-0.5115667889327873,0.610381204463764
PC5,ONSET,0.27501945233800057,1.2639876671777164,0.21758080357862614,0.828316738346299
PC5,POST,2.393148608644784e-4,0.0025434409865928583,0.0940909823054553,0.9252751177362485
PC6,(Intercept),5.772550921332162,12.285949294186999,0.4698498083549311,0.6397567212134568
PC6,time,-3.164626416879367e-4,6.675086967001262e-4,-0.4740951589880265,0.6367397969651396
PC6,ONSET,0.48711451170665554,1.218164861325568,0.39987568774278476,0.6903272336979348
PC6,POST,2.1486321752941246e-4,0.0024512347051935516,0.08765509768369842,0.9303726203839109
PC7,(Intercept),10.573844123026868,11.986187108940285,0.8821691190804142,0.3803617168876954
PC7,time,-5.807397207786695e-4,6.512222982458622e-4,-0.8917687897711042,0.37522503977827515
PC7,ONSET,1.6496053619108992,1.1884431237473019,1.3880389637069868,0.16902736281273753
PC7,POST,-0.00150138174265136,0.0023914275666333216,-0.6278181967957416,0.5319336940087738
PC8,(Intercept),1.2236398847218215,11.82352210341006,0.10349199451903655,0.9178347780442215
PC8,time,-6.479988620069067e-5,6.423845354291481e-4,-0.10087398221285136,0.9199060706096642
PC8,ONSET,-0.1847782863911272,1.1723147164781944,-0.15761832875921605,0.8751597321218066
PC8,POST,4.4507035343572133e-4,0.0023589734112946827,0.188671203882477,0.8508343642066767
PC9,(Intercept),-0.6121272325226403,11.634275588560167,-0.05261412520815109,0.9581721796677809
PC9,time,3.094587551003336e-5,6.321025709298917e-4,0.04895704737367007,0.9610770888994806
PC9,ONSET,0.33345605145614454,1.1535507244578511,0.289069257542067,0.7732855950607855
PC9,POST,-6.320937704786856e-4,0.002321215838482912,-0.27231150158436196,0.786092982910636
PC10,(Intercept),2.1162694211649886,11.36299750806038,0.18624217946574448,0.8527322588369385
PC10,time,-1.134913294552877e-4,6.173637441919855e-4,-0.18383219054080796,0.8546161393748506
PC10,ONSET,0.06082750529961391,1.126653215978873,0.05398955458247638,0.9570797857409254
PC10,POST,-3.028841485774244e-5,0.00226709171426941,-0.013360030680321704,0.9893742370972765
PC11,(Intercept),-8.48926566469104,10.6316076019371,-0.7984931331687108,0.4269783348456804
PC11,time,4.6387466385345243e-4,5.776265524353038e-4,0.8030701876458631,0.42434374894861726
PC11,ONSET,-1.1798259091202274,1.0541351335553089,-1.1192359229513564,0.2664310236056195
PC11,POST,0.0012150409953815093,0.002121168246901212,0.5728168885973791,0.5683954840586838
PC12,(Intercept),-3.0153951487885764,10.48612729597986,-0.2875604180338922,0.7744362349344412
PC12,time,1.7016676726010365e-4,5.69722452629927e-4,0.29868362476252697,0.7659657087783168
PC12,ONSET,-1.3367115506151261,1.039710607416669,-1.2856573176034094,0.2023186032251478
PC12,POST,0.002024648754263368,0.002092142701837853,0.9677393193517848,0.3361279725874464
PC13,(Intercept),-7.339077464824268,10.189383415753028,-0.7202670824495504,0.47348634462455086
PC13,time,4.0690047867434004e-4,5.536000418986968e-4,0.7350080344625385,0.46451097022154975
PC13,ONSET,-1.904233502872441,1.0102881379721012,-1.8848419884397634,0.06312860054093283
PC13,POST,0.0024704616141861114,0.002032937761271318,1.2152175345698648,0.22790251118181823
PC14,(Intercept),4.220670830572952,10.072211544656353,0.4190411223850992,0.6763232685459847
PC14,time,-2.270134506893305e-4,5.47233969477849e-4,-0.41483800961029266,0.6793848944274783
PC14,ONSET,-0.4574301557425063,0.9986704230777971,-0.45803915403117146,0.6481817365744347
PC14,POST,0.001640286002987449,0.0020095601817268108,0.8162412939422171,0.41681659745551847
PC15,(Intercept),6.0151462730238014,9.79874818761902,0.6138688491479043,0.5410656845137571
PC15,time,-3.3459766672550354e-4,5.323764143406487e-4,-0.628498291269918,0.5314905102787659
PC15,ONSET,1.5184881900783023,0.9715562421198289,1.5629441963803639,0.12206296526772886
PC15,POST,-0.0017210228976743556,0.0019550000614367326,-0.8803185900718454,0.38135695357440724
PC16,(Intercept),-7.116203781553834,9.552000210774613,-0.744996191847524,0.45848467985584396
PC16,time,3.942036706448079e-4,5.189703342329656e-4,0.7595880624418312,0.44976159523587655
PC16,ONSET,-1.9949068224399975,0.9470909193517099,-2.106351968621476,0.03834842061366294
PC16,POST,0.0028606770838961403,0.0019057700679055466,1.501060979008891,0.13732621025340502
PC17,(Intercept),-6.218642615835004,9.724401805794344,-0.6394884477243206,0.524355316288194
PC17,time,3.4008277113630175e-4,5.283370963158184e-4,0.6436852030791609,0.5216438909363
PC17,ONSET,-0.6875613398445075,0.9641847197623041,-0.713101261357895,0.4778842951957444
PC17,POST,3.576706020424534e-4,0.0019401668216950997,0.18435043731443726,0.8542109558662808
PC18,(Intercept),-0.14003113774214404,9.62425817082636,-0.0145498110354744,0.988428022390164
PC18,time,7.286856857470927e-6,5.228961860809113e-4,0.013935570867490284,0.9889165165190863
PC18,ONSET,-0.2556133786269009,0.9542553724825519,-0.2678668478039663,0.7894999641959464
PC18,POST,7.298121988570459e-4,0.001920186635576808,0.3800735747948878,0.7049107269921634
PC19,(Intercept),4.085219659309858,9.415216652426961,0.433895449262637,0.6655470150373266
PC19,time,-2.2394765550693945e-4,5.115387379780595e-4,-0.4377921726751901,0.6627315907547042
PC19,ONSET,0.5339017144465553,0.933528684932834,0.5719178457649309,0.5690014611422466
PC19,POST,-3.686397698008174e-4,0.0018784796569415135,-0.19624368485364704,0.8449233783319103
PC20,(Intercept),-3.305667810488115,9.316980772218008,-0.35480032548153095,0.7236846048502632
PC20,time,1.8036040013278548e-4,5.062014780889523e-4,0.356301607047247,0.7225645182292817
PC20,ONSET,-0.3889813074569043,0.9237884935543333,-0.42107182560834316,0.6748460140008021
PC20,POST,3.2609916047462604e-4,0.0018588800970623794,0.17542775404931507,0.8611924024790691
PC21,(Intercept),-0.6555051832229388,8.932647830401988,-0.07338307696313151,0.9416867698309597
PC21,time,3.8628359377421604e-5,4.853202604518326e-4,0.079593543738435,0.9367618082866707
PC21,ONSET,-0.6772585273057948,0.885681476053319,-0.7646750503620368,0.44674325512322677
PC21,POST,0.0012205022754138955,0.001782199799694206,0.6848290947082993,0.4954561567086204
PC22,(Intercept),1.8129575826276785,8.919921942043826,0.20324814436798475,0.8394636852620397
PC22,time,-1.0128813838975104e-4,4.846288493977167e-4,-0.2090014626979577,0.8349850750067074
